Date,Season,DayZero,DayNum,WTeamID,WTeamName,WScore,LTeamID,LTeamName,LScore,WLoc,NumOT,WFGM,WFGA,WFG%,WFGM3,WFGA3,WFG3%,WFTM,WFTA,WFT%,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFG%,LFGM3,LFGA3,LFG3%,LFTM,LFTA,LFT%,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Round,W_rebounds,L_rebounds
2003-03-18,2003,2002-11-04,134,1421,UNC Asheville,92,1411,TX Southern,84,N,1,32,69,46.4,11,29,37.9,17,26,65.4,14,30,17,12,5,3,22,29,67,43.3,12,31,38.7,14,31,45.2,17,28,16,15,5,0,22,Play-In,44,45
2003-03-20,2003,2002-11-04,136,1112,Arizona,80,1436,Vermont,51,N,0,31,66,47.0,7,23,30.4,11,14,78.6,11,36,22,16,10,7,8,20,64,31.2,4,16,25.0,7,7,100.0,8,26,12,17,10,3,15,Round 1 (64 teams),47,34
2003-03-20,2003,2002-11-04,136,1113,Arizona St,84,1272,Memphis,71,N,0,31,59,52.5,6,14,42.9,16,22,72.7,10,27,18,9,7,4,19,25,69,36.2,7,28,25.0,14,21,66.7,20,22,11,12,2,5,18,Round 1 (64 teams),37,42
2003-03-20,2003,2002-11-04,136,1141,C Michigan,79,1166,Creighton,73,N,0,29,53,54.7,3,7,42.9,18,25,72.0,11,20,15,18,13,1,19,27,60,45.0,7,17,41.2,12,17,70.6,14,17,20,21,6,6,21,Round 1 (64 teams),31,31
2003-03-20,2003,2002-11-04,136,1143,California,76,1301,NC State,74,N,1,27,64,42.2,7,20,35.0,15,23,65.2,18,20,17,13,8,2,14,25,56,44.6,9,21,42.9,15,20,75.0,10,26,16,14,5,8,19,Round 1 (64 teams),38,36
2003-03-20,2003,2002-11-04,136,1163,Connecticut,58,1140,BYU,53,N,0,17,52,32.7,4,14,28.6,20,27,74.1,12,29,8,14,3,8,16,20,64,31.2,2,17,11.8,11,13,84.6,15,26,11,11,8,4,22,Round 1 (64 teams),41,41
2003-03-20,2003,2002-11-04,136,1181,Duke,67,1161,Colorado St,57,N,0,19,54,35.2,4,13,30.8,25,31,80.6,13,27,4,16,10,8,23,18,54,33.3,3,11,27.3,18,22,81.8,11,24,8,19,5,4,19,Round 1 (64 teams),40,35
2003-03-20,2003,2002-11-04,136,1211,Gonzaga,74,1153,Cincinnati,69,N,0,20,47,42.6,6,14,42.9,28,37,75.7,8,28,12,12,2,2,15,26,66,39.4,10,27,37.0,7,10,70.0,13,22,13,10,7,6,24,Round 1 (64 teams),36,35
2003-03-20,2003,2002-11-04,136,1228,Illinois,65,1443,WKU,60,N,0,24,56,42.9,5,14,35.7,12,14,85.7,15,23,15,14,11,4,14,22,58,37.9,8,24,33.3,8,13,61.5,17,18,10,14,6,5,16,Round 1 (64 teams),38,35
2003-03-20,2003,2002-11-04,136,1242,Kansas,64,1429,Utah St,61,N,0,28,51,54.9,2,6,33.3,6,11,54.5,7,20,13,11,8,4,17,23,56,41.1,6,17,35.3,9,10,90.0,13,19,13,13,6,1,15,Round 1 (64 teams),27,32
2003-03-20,2003,2002-11-04,136,1266,Marquette,72,1221,Holy Cross,68,N,0,22,51,43.1,9,16,56.2,19,23,82.6,11,20,14,10,4,3,23,24,54,44.4,5,15,33.3,15,25,60.0,14,20,14,9,4,1,20,Round 1 (64 teams),31,34
2003-03-20,2003,2002-11-04,136,1281,Missouri,72,1356,S Illinois,71,N,0,28,52,53.8,5,13,38.5,11,18,61.1,9,32,7,23,4,6,19,26,65,40.0,8,19,42.1,11,21,52.4,11,18,19,13,6,0,19,Round 1 (64 teams),41,29
2003-03-20,2003,2002-11-04,136,1323,Notre Dame,70,1454,WI Milwaukee,69,N,0,23,54,42.6,3,13,23.1,21,25,84.0,11,33,7,20,6,6,19,23,66,34.8,8,23,34.8,15,20,75.0,14,23,15,12,11,3,25,Round 1 (64 teams),44,37
2003-03-20,2003,2002-11-04,136,1328,Oklahoma,71,1354,S Carolina St,54,N,0,24,52,46.2,10,18,55.6,13,24,54.2,11,24,16,14,8,3,12,21,52,40.4,6,20,30.0,6,8,75.0,7,22,8,18,7,2,23,Round 1 (64 teams),35,29
2003-03-20,2003,2002-11-04,136,1390,Stanford,77,1360,San Diego,69,N,0,29,64,45.3,8,24,33.3,11,15,73.3,12,29,16,14,4,8,24,20,61,32.8,4,18,22.2,25,32,78.1,17,25,7,11,3,0,18,Round 1 (64 teams),41,42
