Date,Season,DayZero,DayNum,WTeamID,WTeamName,WScore,LTeamID,LTeamName,LScore,WLoc,NumOT,WFGM,WFGA,WFG%,WFGM3,WFGA3,WFG3%,WFTM,WFTA,WFT%,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFG%,LFGM3,LFGA3,LFG3%,LFTM,LFTA,LFT%,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Round,W_rebounds,L_rebounds
2010-03-20,2010,2009-11-02,138,3124,Baylor,69,3201,Fresno St,55,N,0,28,57,49.1,1,5,20.0,12,19,63.2,13,24,22,12,6,2,12,21,61,34.4,10,34,29.4,3,5,60.0,17,19,12,18,4,1,18,Round 2 (32 teams),37,36
2010-03-20,2010,2009-11-02,138,3173,Dayton,67,3395,TCU,66,N,0,23,59,39.0,9,26,34.6,12,19,63.2,13,34,13,16,3,10,14,22,73,30.1,8,27,29.6,14,15,93.3,18,26,8,8,8,6,22,Round 2 (32 teams),47,44
2010-03-20,2010,2009-11-02,138,3181,Duke,72,3214,Hampton,37,H,0,26,57,45.6,4,13,30.8,16,22,72.7,13,34,15,11,10,7,11,15,56,26.8,4,15,26.7,3,8,37.5,10,21,4,16,6,4,20,Round 2 (32 teams),47,31
2010-03-20,2010,2009-11-02,138,3199,Florida St,75,3256,Louisiana Tech,61,H,0,25,63,39.7,3,15,20.0,22,26,84.6,20,27,13,17,8,3,21,21,62,33.9,2,20,10.0,17,22,77.3,16,21,13,16,5,4,24,Round 2 (32 teams),47,37
2010-03-20,2010,2009-11-02,138,3207,Georgetown,62,3265,Marist,42,N,0,24,68,35.3,8,25,32.0,6,8,75.0,20,29,16,8,5,5,18,13,60,21.7,5,26,19.2,11,17,64.7,16,22,9,10,3,4,12,Round 2 (32 teams),49,38
2010-03-20,2010,2009-11-02,138,3208,Georgia,64,3408,Tulane,59,N,0,21,50,42.0,6,15,40.0,16,24,66.7,16,31,15,23,7,7,12,23,69,33.3,10,35,28.6,3,8,37.5,17,17,11,12,11,3,20,Round 2 (32 teams),47,34
2010-03-20,2010,2009-11-02,138,3211,Gonzaga,82,3314,North Carolina,76,H,0,36,75,48.0,6,17,35.3,4,8,50.0,11,31,23,16,11,6,12,30,78,38.5,4,18,22.2,12,18,66.7,17,31,15,18,12,5,16,Round 2 (32 teams),42,48
2010-03-20,2010,2009-11-02,138,3234,Iowa,70,3353,Rutgers,63,N,0,19,44,43.2,10,23,43.5,22,28,78.6,10,29,12,18,4,1,11,27,61,44.3,3,10,30.0,6,12,50.0,11,18,13,13,10,2,21,Round 2 (32 teams),39,29
2010-03-20,2010,2009-11-02,138,3246,Kentucky,83,3251,Liberty,77,H,0,25,49,51.0,7,11,63.6,26,36,72.2,9,17,15,15,16,2,17,32,64,50.0,2,9,22.2,11,16,68.8,17,21,8,22,8,1,25,Round 2 (32 teams),26,38
2010-03-20,2010,2009-11-02,138,3261,LSU,60,3216,Hartford,39,N,0,18,56,32.1,1,7,14.3,23,30,76.7,20,29,9,14,7,4,9,16,54,29.6,3,17,17.6,4,7,57.1,11,25,12,17,7,5,20,Round 2 (32 teams),49,36
2010-03-20,2010,2009-11-02,138,3277,Michigan St,72,3132,Bowling Green,62,N,0,28,68,41.2,4,16,25.0,12,14,85.7,15,27,16,10,8,2,20,19,51,37.3,11,22,50.0,13,22,59.1,10,25,12,16,5,1,15,Round 2 (32 teams),42,35
2010-03-20,2010,2009-11-02,138,3329,Oklahoma St,70,3151,Chattanooga,63,N,0,27,70,38.6,0,15,0.0,16,23,69.6,15,28,19,10,13,3,14,23,60,38.3,10,34,29.4,7,11,63.6,11,32,12,23,4,1,17,Round 2 (32 teams),43,43
2010-03-20,2010,2009-11-02,138,3385,St John's,65,3343,Princeton,47,N,0,27,59,45.8,1,10,10.0,10,18,55.6,14,28,7,12,11,1,14,17,60,28.3,1,10,10.0,12,15,80.0,16,25,9,16,5,3,15,Round 2 (32 teams),42,41
2010-03-20,2010,2009-11-02,138,3390,Stanford,79,3415,UC Riverside,47,H,0,27,61,44.3,6,19,31.6,19,25,76.0,16,28,11,8,6,1,11,19,50,38.0,6,22,27.3,3,10,30.0,6,23,9,15,1,2,16,Round 2 (32 teams),44,29
2010-03-20,2010,2009-11-02,138,3397,Tennessee,75,3122,Austin Peay,42,H,0,31,67,46.3,5,19,26.3,8,13,61.5,21,26,18,13,6,5,14,16,53,30.2,3,14,21.4,7,9,77.8,11,17,4,20,4,3,13,Round 2 (32 teams),47,28
2010-03-20,2010,2009-11-02,138,3401,Texas A&M,84,3340,Portland St,53,N,0,31,62,50.0,3,10,30.0,19,32,59.4,15,33,21,11,14,2,11,21,63,33.3,9,27,33.3,2,4,50.0,10,22,8,20,9,4,19,Round 2 (32 teams),48,32
2010-03-21,2010,2009-11-02,139,3114,Ark Little Rock,63,3210,Georgia Tech,53,N,0,20,47,42.6,6,13,46.2,17,26,65.4,9,26,15,17,11,2,14,23,62,37.1,1,7,14.3,6,8,75.0,15,23,7,16,9,4,20,Round 2 (32 teams),35,38
2010-03-21,2010,2009-11-02,139,3163,Connecticut,95,3380,Southern Univ,39,N,0,32,52,61.5,9,16,56.2,22,26,84.6,12,40,27,21,10,7,9,15,65,23.1,5,26,19.2,4,7,57.1,12,10,7,15,8,3,18,Round 2 (32 teams),52,22
2010-03-21,2010,2009-11-02,139,3235,Iowa St,79,3250,Lehigh,42,H,0,29,59,49.2,7,17,41.2,14,15,93.3,14,32,16,15,5,3,16,11,50,22.0,5,23,21.7,15,17,88.2,7,17,6,17,8,6,18,Round 2 (32 teams),46,24
2010-03-21,2010,2009-11-02,139,3280,Mississippi St,68,3292,MTSU,64,N,0,26,59,44.1,7,19,36.8,9,11,81.8,11,30,16,17,5,2,9,23,65,35.4,12,37,32.4,6,8,75.0,12,22,19,14,5,0,14,Round 2 (32 teams),41,34
2010-03-21,2010,2009-11-02,139,3304,Nebraska,83,3320,Northern Iowa,44,N,0,26,61,42.6,10,20,50.0,21,25,84.0,13,32,20,11,10,3,14,17,58,29.3,2,23,8.7,8,11,72.7,10,24,8,17,4,3,21,Round 2 (32 teams),45,34
2010-03-21,2010,2009-11-02,139,3323,Notre Dame,86,3156,Cleveland St,58,H,0,33,64,51.6,3,11,27.3,17,23,73.9,10,30,25,14,13,2,15,22,59,37.3,2,15,13.3,12,16,75.0,10,23,15,24,8,1,17,Round 2 (32 teams),40,33
2010-03-21,2010,2009-11-02,139,3326,Ohio St,93,3384,St Francis PA,59,N,0,37,75,49.3,6,17,35.3,13,18,72.2,19,36,26,16,10,6,14,20,70,28.6,7,30,23.3,12,18,66.7,16,22,10,18,12,5,11,Round 2 (32 teams),55,38
2010-03-21,2010,2009-11-02,139,3328,Oklahoma,68,3355,S Dakota St,57,H,0,27,61,44.3,4,16,25.0,10,11,90.9,11,25,15,13,10,4,13,21,57,36.8,8,18,44.4,7,8,87.5,11,24,10,18,5,0,14,Round 2 (32 teams),36,35
2010-03-21,2010,2009-11-02,139,3361,San Diego St,74,3400,Texas,63,A,0,22,52,42.3,9,17,52.9,21,35,60.0,11,37,15,21,7,6,22,22,66,33.3,1,13,7.7,18,31,58.1,14,27,11,14,12,4,24,Round 2 (32 teams),48,41
2010-03-21,2010,2009-11-02,139,3396,Temple,65,3241,James Madison,53,N,0,24,57,42.1,6,17,35.3,11,16,68.8,10,25,11,17,10,7,12,21,59,35.6,4,18,22.2,7,15,46.7,17,27,9,21,11,1,14,Round 2 (32 teams),35,44
2010-03-21,2010,2009-11-02,139,3417,UCLA,74,3301,NC State,54,N,0,28,55,50.9,4,8,50.0,14,15,93.3,12,29,16,17,7,4,17,18,54,33.3,6,21,28.6,12,15,80.0,10,16,8,14,9,1,18,Round 2 (32 teams),41,26
2010-03-21,2010,2009-11-02,139,3435,Vanderbilt,83,3177,DePaul,76,N,1,28,63,44.4,5,22,22.7,22,33,66.7,15,32,21,17,9,2,17,31,76,40.8,7,19,36.8,7,11,63.6,16,25,18,16,8,5,25,Round 2 (32 teams),47,41
2010-03-21,2010,2009-11-02,139,3436,Vermont,64,3458,Wisconsin,55,N,0,21,52,40.4,3,11,27.3,19,27,70.4,6,30,14,11,8,10,13,22,61,36.1,5,15,33.3,6,9,66.7,11,30,13,15,7,4,22,Round 2 (32 teams),36,41
2010-03-21,2010,2009-11-02,139,3452,West Virginia,58,3249,Lamar,43,N,0,22,58,37.9,4,20,20.0,10,19,52.6,16,32,12,23,13,1,12,16,52,30.8,5,21,23.8,6,10,60.0,4,24,11,21,7,2,17,Round 2 (32 teams),48,28
2010-03-21,2010,2009-11-02,139,3453,WI Green Bay,69,3438,Virginia,67,N,0,16,44,36.4,3,13,23.1,34,40,85.0,11,32,10,30,9,1,23,25,67,37.3,2,10,20.0,15,23,65.2,14,21,10,19,22,3,28,Round 2 (32 teams),43,35
2010-03-21,2010,2009-11-02,139,3462,Xavier,94,3190,ETSU,82,H,0,36,82,43.9,7,26,26.9,15,19,78.9,26,26,21,14,11,7,15,28,64,43.8,15,31,48.4,11,17,64.7,12,22,16,16,8,3,19,Round 2 (32 teams),52,34
